station,location,state,do,ph,co,bod,na,tc,year,npH,ndo,nco,nbdo,nec,nna,wph,wdo,wbdo,wec,wna,wco,wqi
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.1,6.6,76,1,0.12,3527,2013,40,100,40,100,80,100,6.6,28.1,23.4,0.72,2.8,11.24,72.86
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,6.7,6.6,107,1.3,0.22,3757,2013,40,100,40,100,80,100,6.6,28.1,23.4,0.72,2.8,11.24,72.86
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,7.2,6.7,89,0.9,0.06,1996,2013,60,100,40,100,80,100,9.9,28.1,23.4,0.72,2.8,11.24,76.16
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,4.2,6.7,192,2,0.16,9286,2013,60,60,40,100,60,100,9.9,16.86,23.4,0.54,2.8,11.24,64.74
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,6.3,6.6,79,1.6,0.19,6054,2013,40,100,40,100,80,100,6.6,28.1,23.4,0.72,2.8,11.24,72.86
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,5.6,7.7,142,1.7,0.14,3644,2013,100,80,40,100,80,100,16.5,22.48,23.4,0.72,2.8,11.24,77.14
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,2.8,6.4,424,3.2,0.35,21036,2013,0,0,0,80,0,100,0,0,18.72,0,2.8,0,21.52
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,5.2,7.1,306,2.6,0.34,1525,2013,100,80,40,100,0,100,16.5,22.48,23.4,0,2.8,11.24,76.42
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,5.6,7.7,40,1.5,0.07,7130,2013,100,80,40,100,100,100,16.5,22.48,23.4,0.9,2.8,11.24,77.32
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,5.5,7.7,40,1.5,0.08,12282,2013,100,80,0,100,100,100,16.5,22.48,23.4,0.9,2.8,0,66.08
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,6.9,6.7,63,0.9,0.21,1132,2013,60,100,40,100,100,100,9.9,28.1,23.4,0.9,2.8,11.24,76.34
3188,RIVER TIRACOL AT TIRACOL,GOA,6.3,7.6,227,1.7,0.08,3612,2013,100,100,40,100,40,100,16.5,28.1,23.4,0.36,2.8,11.24,82.4
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,7.1,6.6,68,1.1,0.13,8167,2013,40,100,40,100,100,100,6.6,28.1,23.4,0.9,2.8,11.24,73.04
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,6.9,7.7,121,3.3,1,163,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,7.2,8.2,112,3.3,1,94,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.9,7.7,103,3.7,0.57,103,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.9,7.6,104,3.5,0.75,79,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,6.4,7.4,1003,4.3,2.89,753,2013,100,100,40,80,0,100,16.5,28.1,18.72,0,2.8,11.24,77.36
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,6.3,8.3,408,2.7,1.58,157,2013,100,100,60,100,0,100,16.5,28.1,23.4,0,2.8,16.86,87.66
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,6.7,7.8,105,3.6,1,89,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,6.3,7.6,209,4.4,1.86,98,2013,100,100,60,80,60,100,16.5,28.1,18.72,0.54,2.8,16.86,83.52
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,5.9,7.6,13768,5,1.79,300,2013,100,80,60,80,0,100,16.5,22.48,18.72,0,2.8,16.86,77.36
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,7.3,7.7,86,3.2,1,93,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
2168,MITHI RIVER,MAHARASHTRA,3.6,7.4,6487,30.5,1.5,745,2013,100,40,40,60,0,100,16.5,11.24,14.04,0,2.8,11.24,55.82
2676,"MUCHKUNDI RIVER AT  WAKED,RATNAGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,6.3,8.3,999,3.3,1.78,112,2013,100,100,60,80,0,100,16.5,28.1,18.72,0,2.8,16.86,82.98
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,7.2,7.7,125,3.3,1,89,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,7.1,7.5,127,3.4,4.4,63,2013,100,100,60,80,80,100,16.5,28.1,18.72,0.72,2.8,16.86,83.7
