location,state,do,ph,co,bod,na,tc,year,wqi
"PEHLAR DAM ON PEHLAR RIVER INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,6.3,7.8,223,4.6,0.9,32,2014,89.14
SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,6.7,7.3,9293,3.5,1.8,0,2014,94.22
"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,6.8,7.2,170,3.1,1.4,0,2014,94.76
"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,6.8,7.3,4175,3.3,1.6,0,2014,94.22
"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,6.9,7.3,4282,3.3,1.6,0,2014,94.22
"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,6.9,7.3,5551,3.4,1.7,0,2014,94.22
"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,6.8,7.9,5390,4.9,0.8,28,2014,88.6
"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,6.6,8.1,161,4.6,0.3,32,2014,89.14
"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,6.7,8,138,5,0.3,33,2014,89.32
"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,6.7,7.8,81,4.9,0.3,35,2014,89.32
"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,5.9,7.7,194,5.5,0.6,51,2014,77.9
"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,6.3,7.6,186,4.6,0.6,31,2014,89.14
ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,6.6,7.6,207,4.7,0.7,31,2014,89.14
"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,6.8,7.7,85,5,0.4,34,2014,89.32
VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,7.1,7.4,176,2.7,0.9,30,2014,93.82
"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,7,7.4,178,2.7,0.9,40,2014,93.82
"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,7.2,7.2,180,2.7,1,70,2014,88.2
"ACHENKOIL AT THUMPAMON, KERALA",KERALA,6.7,7.5,85,1.4,1,420,2014,88.38
"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,5.8,7.4,77,1.4,0.8,691,2014,77.14
"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,6.6,7.5,75,1.4,0.7,448,2014,88.56
"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,6.7,7.5,82,1.4,1,443,2014,88.38
R ANCHARAKANDY AT MERUVAMBA,KERALA,6.7,6.9,56,0.9,0.2,172,2014,85.26
R ANCHARAKANDY AT MERUVAMBA,KERALA,6.5,6.7,2240,1.2,0.2,304,2014,81.06
R AYROOR AT AYROOR BRIDGE,KERALA,6.3,6.9,73,1.6,0,2008,2014,79.64
R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,7,7.4,130,0.7,0.1,590,2014,82.76
