location,state,do,ph,co,bod,na,tc,year,wqi
"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,5.1,7,105,3.6,4.7,780,2014,72.46
"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,7.3,7.1,51,1.6,2.4,40,2014,94.18
"RILANG RIVER AT MAWKYRWAT, WEST KHASI HILLS",MEGHALAYA,7.7,7.2,50,1.6,2,36,2014,94.18
"SIMSANG RIVER WILLIAMNAGAR, MEGHALAYA",MEGHALAYA,7.6,7.3,115,2.1,3.7,528,2014,82.76
"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,6.2,7,81,2.4,5.1,79,2014,88.38
"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,7.2,7.1,66,1.9,3.4,63,2014,88.56
"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,7.4,7.1,57,1.5,2.9,40,2014,94.18
"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA,7.5,7.4,144,1.7,3.5,59,2014,88.38
UMKHEN AT WAHKDAIT,MEGHALAYA,7.1,7.1,63,1.9,5.6,48,2014,94.18
UMKHEN AT KSEHPONGDENG,MEGHALAYA,7.3,7.2,65,1.9,3.3,48,2014,94.18
"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,7.3,7.3,65,2,3,54,2014,88.56
"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,1.5,6.9,345,33.9,16.9,34251,2014,30.04
"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,3.9,7.1,233,17,10.5,22223,2014,44.94
"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,1,7.2,376,57.2,20.3,83554,2014,32.78
"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,0.9,7.2,506,61.1,19.6,106333,2014,33.34
"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,7.2,7,66,1.9,3.7,60,2014,88.56
"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,7.7,7.2,62,1.6,3,59,2014,88.56
"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS",MEGHALAYA,7.3,6.9,61,2.2,2,52,2014,85.26
"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,1.2,7.1,380,45.7,15.6,94083,2014,33.34
"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",MEGHALAYA,3.2,7.1,258,23.5,10.3,54083,2014,44.94
"UMTREW AT BYRNIHAT EAST, MEGHALAYA",MEGHALAYA,7.2,7.2,124,6.9,4.5,552,2014,73.4
"UMTREW RIVER AT UMRAN, RINAN BHOI",MEGHALAYA,7.2,7.1,65,2.1,2.4,120,2014,88.56
"WAH BLEI AT RIANGDO, WEST KHASI HILLS",MEGHALAYA,7.5,7.3,64,1.9,3.3,42,2014,94.18
"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",MEGHALAYA,7.6,7.3,65,1.9,3.8,43,2014,94.18
TLAWNG UPSTREAM AIZAWL,MIZORAM,7.1,7.3,269,1.4,0.1,115,2014,88.02
TLAWNG DOWNSTREAM AIZAWL,MIZORAM,7.2,7.3,275,1.5,0.1,68,2014,88.02
TUIRIAL UPPER CATCHMENT,MIZORAM,6.9,7.1,186,1.6,0.1,29,2014,93.82
TUIRIAL LOWER CATCHMENT,MIZORAM,6.8,7.1,201,1.4,0.2,86,2014,88.2
"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",TRIPURA,6.2,7.8,165,2.1,0,340,2014,88.2
"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",TRIPURA,6.4,7.8,158,4.1,0.5,500,2014,83.52
"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,6.6,7.9,210,4.2,1.9,572,2014,77.9
"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,,0,208,,,,2013,0.54
"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",GUJARAT,7.3,7.9,693,0.5,1,173,2013,87.66
"DAMANGANGA AT KACHIGAON D\S (DAMAN), GUJARAT",GUJARAT,5,7.6,1676,1.8,8,174,2013,76.42
RIVER DHADAR AT KOTHADA,GUJARAT,,0,506,,6,227,2013,19.66
"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",GUJARAT,6,7.7,1863,8.6,1,1183,2013,72.68
AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,,,24300,,7,24,2013,25.28
"KOLAK AT PATALIA BDG., GUJARAT",GUJARAT,5.3,7.8,817,2.8,1,23,2013,87.66
"BHADAR V/S JETPUR VILL. A/C OF W. WATER FROM JETPUR CITY, GUJARAT",GUJARAT,4.3,7.8,2307,103.8,1.23,1817,2013,56.76
BALEHWAR KHADI AT N.H. NO 8,GUJARAT,4.5,8.3,1287,1.5,11,5,2013,87.66
TRIVENI SANGAM,GUJARAT,,,,,0,2,2013,30.9
"AMBIKA AT BILIMORA, GUJARAT",GUJARAT,6.8,8.2,1862,2.5,0.87,64,2013,87.66
"UPSTREAM OF RIVER VISHWAMITRI AT ASOD BRIDGE AT N.H. 8 , NEAR GLDEN CHOKDI, ASOD VEMALI ROAD",GUJARAT,5,8,,0.7,0,,2013,59.56
"DOWNSTREAM OF RIVER VISHWAMITRI AT KHALIPUR VILLAGE, BEFORE MEETING JAMBUVA RIVER",GUJARAT,3,7.7,,0.4,0,,2013,53.94
KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,6.7,8.1,2520,7.2,1,41,2013,83.92
RIVER BHOGAVO D/S OF SURENDRANAGAR,GUJARAT,8.2,8.4,606,2.9,0,,2013,70.8
NAN,NAN,,,,,,,2013,0
"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,5.6,7.5,41,2,0.08,13410,2013,66.08
ZUARI AT PANCHAWADI,GOA,5.5,6.7,209,0.8,0.17,2915,2013,70.36
RIVER ZUARI AT BORIM BRIDGE,GOA,5.5,7.1,123,1.5,0.09,6264,2013,77.14
RIVER ZUARI AT MARCAIM JETTY,GOA,5.3,7.3,182,1.5,0.08,3080,2013,76.96
"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,6,7.6,100,1.2,0.17,6086,2013,82.76
"MANDOVI AT TONCA, MARCELA, GOA",GOA,5.7,6.9,111,1,0.14,3061,2013,73.84
RIVER MANDOVI AT AMONA BRIDGE,GOA,6.4,7.1,140,1.1,0.1,7908,2013,82.76
RIVER MANDOVI AT IFFI JETTY,GOA,6.2,7.8,44,2,0.06,9320,2013,82.94
RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,6.1,7.6,43,1.8,0.06,9554,2013,82.94
"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,7,6.9,64,1.1,0.09,2841,2013,79.64
"RIVER ASSONORA AT ASSONORA, GOA",GOA,6.6,6.5,62,1,0.14,7190,2013,73.04
"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,7,6.8,304,2,0.49,23867,2013,67.5
"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,7,7,55,1.2,0.66,2813,2013,82.94
RIVER CHAPORA AT SIOLIM,GOA,6.3,7.6,213,1.5,0.06,7069,2013,82.58
"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,6.7,6.8,83,1.2,0.17,3559,2013,79.46
"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.1,6.6,76,1,0.12,3527,2013,72.86
"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,6.7,6.6,107,1.3,0.22,3757,2013,72.86
"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,7.2,6.7,89,0.9,0.06,1996,2013,76.16
RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,4.2,6.7,192,2,0.16,9286,2013,64.74
"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,6.3,6.6,79,1.6,0.19,6054,2013,72.86
"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,5.6,7.7,142,1.7,0.14,3644,2013,77.14
"RIVER SAL AT KHAREBAND, MARGAO",GOA,2.8,6.4,424,3.2,0.35,21036,2013,21.52
"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,5.2,7.1,306,2.6,0.34,1525,2013,76.42
RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,5.6,7.7,40,1.5,0.07,7130,2013,77.32
RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,5.5,7.7,40,1.5,0.08,12282,2013,66.08
"RIVER TALPONA AT CANACONA, GOA",GOA,6.9,6.7,63,0.9,0.21,1132,2013,76.34
RIVER TIRACOL AT TIRACOL,GOA,6.3,7.6,227,1.7,0.08,3612,2013,82.4
"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,7.1,6.6,68,1.1,0.13,8167,2013,73.04
"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,6.9,7.7,121,3.3,1,163,2013,83.7
"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,7.2,8.2,112,3.3,1,94,2013,83.7
"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.9,7.7,103,3.7,0.57,103,2013,83.7
"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.9,7.6,104,3.5,0.75,79,2013,83.7
"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,6.4,7.4,1003,4.3,2.89,753,2013,77.36
"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,6.3,8.3,408,2.7,1.58,157,2013,87.66
"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,6.7,7.8,105,3.6,1,89,2013,83.7
KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,6.3,7.6,209,4.4,1.86,98,2013,83.52
"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,5.9,7.6,13768,5,1.79,300,2013,77.36
"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,7.3,7.7,86,3.2,1,93,2013,83.7
MITHI RIVER,MAHARASHTRA,3.6,7.4,6487,30.5,1.5,745,2013,55.82
"MUCHKUNDI RIVER AT  WAKED,RATNAGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,6.3,8.3,999,3.3,1.78,112,2013,82.98
"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,7.2,7.7,125,3.3,1,89,2013,83.7
"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,7.1,7.5,127,3.4,4.4,63,2013,83.7
"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,7.1,7.4,5300,38,1,667,2013,72.68
"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,7.2,7.6,127,3.2,1,51,2013,83.7
"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,7,7.6,126,3.3,1,63,2013,83.7
"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,7.2,7.6,126,3.4,1.89,64,2013,83.7
"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,7.1,7.8,112,3.2,0.63,88,2013,83.7
SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,6.8,7.7,9590,3.6,4.57,124,2013,82.98
"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,6.8,7.4,174,3.7,2.26,124,2013,83.52
"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,6.8,7.6,2572,3.3,4.22,118,2013,82.98
"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,6.7,7.8,6030,4.4,4.78,138,2013,82.98
"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,6.8,7.7,7207,3.9,4.25,120,2013,82.98
"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,6.8,8.1,167,3.8,1,85,2013,83.52
"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,6.8,8,173,3.5,1,98,2013,83.52
"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,7,8,168,3.6,1,83,2013,83.52
"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,6.9,7.9,131,3.5,0.75,96,2013,83.7
"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,7,7.6,125,3.5,0.6,63,2013,83.7
ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,7.2,7.5,132,3.3,0.9,88,2013,83.7
"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,7.2,7.7,119,3.3,1,68,2013,83.7
VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,6.9,7.5,159,2.8,1,82,2013,88.2
"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,6.7,7.7,141,3.3,3,90,2013,83.7
"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,7.3,7.7,132,2.9,2,88,2013,88.38
"ACHENKOIL AT THUMPAMON, KERALA",KERALA,6.4,7.3,76,1.7,0.62,788,2013,82.76
"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,6,7.1,85,1.7,0.53,538,2013,82.76
"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,6.3,7.1,69,1.3,0.57,593,2013,82.94
"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,6.5,7.3,76,1.6,0.55,545,2013,82.76
R ANCHARAKANDY AT MERUVAMBA,KERALA,6.7,6.6,60,1.2,0.34,435,2013,78.66
R ANCHARAKANDY AT MERUVAMBA,KERALA,7,6.6,3544,1.5,0.37,435,2013,77.76
R AYROOR AT AYROOR BRIDGE,KERALA,6.7,7.3,51,0.8,0.35,1567,2013,82.94
R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,6.9,7.7,107,0.7,0.46,443,2013,88.38
R BHARATHAPUZHA AT PATTAMBI,KERALA,6.7,7.9,173,0.9,0.56,426,2013,88.2
"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,5.6,6.9,126,1.2,0.67,990,2013,73.84
"CHALIYAR AT KOOLIMADU, KERALA",KERALA,7.3,7.4,70,0.8,0.31,4208,2013,82.94
"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,6.9,7.4,12754,0.8,0.29,2557,2013,82.04
"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,7.1,7.4,80,0.6,0.5,2831,2013,82.76
"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA,7.2,6.9,62,1.3,0.11,150,2013,85.26
"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,3.4,6.7,2965,2.3,1.11,1236,2013,58.58
R CORAPUZHA AT KANAYANKODE,KERALA,6.1,7.2,15871,0.9,0.25,2975,2013,82.04
"R ITHIKKARA AT AYUR, KERALA",KERALA,6.4,7.2,120,1.9,0.77,618,2013,82.76
R ITHIKKARA AT ITHIKKARA,KERALA,6.2,7.2,7448,2,1.01,483,2013,87.66
"R KADALUNDI AT THIRURANGADY, KERALA",KERALA,6.6,6.9,77,1.6,0.29,756,2013,79.46
R KADALUNDI AT HAJIRAPPALLY,KERALA,6.8,7,72,1.7,0.2,785,2013,82.94
R KADAMBAYAR AT BRAHMAPURAM,KERALA,2.9,6.7,305,2.2,1.28,1623,2013,47.34
R KADAMBAYAR AT MANCKAKADAVU,KERALA,3,6.6,86,2,0.39,1319,2013,56
"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,6.7,7.1,79,1.6,0.34,738,2013,82.76
R KALLAI AT KALLAI BRIDGE,KERALA,3.6,7.3,32790,2.6,0.59,112867,2013,53.94
"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,6.1,7.8,2905,1.3,0.54,997,2013,82.04
KARAPUZHA DAM AT WAYANAD,KERALA,6.9,7.4,112,0.5,0.35,67,2013,88.38
"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,7,6.9,51,1.1,0.18,317,2013,85.26
"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,3.1,7.2,1416,13.2,4.41,19917,2013,44.58
"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,7,7.1,30,0.5,0.32,496,2013,88.56
R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,6.1,7,59,1.8,0.58,282,2013,88.56
R KAVVAI AT KUTTIYOL PALAM,KERALA,6,6.4,61,2.1,0.28,300,2013,72.06
R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,6.3,7,105,2.8,0.37,543,2013,82.76
R KORAYAR AT KANJIKODE,KERALA,6.9,8.1,502,0.9,0.72,615,2013,82.04
"R KUPPAM AT THALIPARAMBA, KERALA",KERALA,5.9,6.7,14662,1.5,0.52,377,2013,75.44
R KUPPAM AT RAYAROM,KERALA,7.8,6.8,49,1.4,0.3,319,2013,85.26
"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA,7.1,7.4,380,1,0.14,66382,2013,70.8
"R MAHE AT VALAYAM, KERALA",KERALA,7.3,7.2,67,0.9,0.38,3471,2013,82.94
R MAMOM AT MAMOM BRIDGE,KERALA,6.2,7.2,51,0.8,0.23,942,2013,82.94
"MANIMALA  AT KALLOOPARA, KERALA",KERALA,7.2,6.8,69,1.2,0.45,941,2013,79.64
"MANIMALA AT THONDRA, KERALA",KERALA,6.9,6.7,75,2.5,0.4,701,2013,76.34
"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,6.3,7.4,113,0.6,0.88,128,2013,88.38
R MANJESWAR AT BAJRAKKARA BR.,KERALA,7.6,6.8,79,1.6,0.31,109,2013,85.08
"MEENACHIL AT KIDANGOOR, KERALA",KERALA,7,7.2,57,0.6,0.46,3558,2013,82.94
R MOGRAL AT MOGRAL BR.,KERALA,5.9,7,22576,1.5,0.35,253,2013,82.04
"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,6.8,7.2,105,0.6,0.39,2392,2013,82.76
R NEELASWARAM AT NAMBIARKAL DAM,KERALA,6.3,6.7,2315,1.3,0.17,278,2013,81.06
"R NEELESWARAM AT HOSDURG, KERALA",KERALA,6.4,6.9,18569,1,0.27,277,2013,84.36
"R NEYYAR AT AMARAVILA, KERALA",KERALA,6.6,7.3,45,0.6,0.39,940,2013,82.94
R NEYYAR AT ARUVIPURAM,KERALA,6.9,7.2,42,0.5,0.18,774,2013,82.94
R PALLICKAL AT NELLIMUKAL,KERALA,6,7.3,92,1.7,0.56,597,2013,82.76
"PAMBA AT CHENGANNUR, KERALA",KERALA,6.1,7.2,59,0.7,1.04,311,2013,88.56
"PAMBA AT THAKAZHY, KERALA",KERALA,4.5,6.9,1190,0.7,1.17,388,2013,73.12
"PAMBA DOWN, KERALA",KERALA,4.2,7,69,0.6,1.04,420,2013,77.32
"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,6,7,5569,2.2,0.68,1894,2013,82.04
"PERIYAR AT KALADY, KERALA",KERALA,7.3,7,34,1,0.27,927,2013,82.94
"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,6.3,7,44,1.6,0.32,1876,2013,82.94
RIVER PERIYAR AT MUPPATHADAM,KERALA,6.4,7.2,49,1.4,0.23,1357,2013,82.94
RIVER PERIYAR AT PATHALAM,KERALA,5.9,7,3272,2.2,0.62,1284,2013,76.42
R PERIYAR AT KALAMASSERY,KERALA,4.6,7,65,1.7,0.28,1937,2013,71.7
R PERIYAR AT PURAPPALLIKAVU,KERALA,6.5,6.9,4650,2,1,1573,2013,78.74
"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,6.5,7,42,1.4,1,1221,2013,82.94
R PERUVAMBA AT CHANDAPPURA,KERALA,6.4,6.4,45,1.2,1,376,2013,72.06
R PULLUR AT PULLUR BR.,KERALA,6,6.1,56,1.2,0,438,2013,72.06
R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,5.3,6.8,99,2.8,0.79,523,2013,73.84
R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,3.6,6.5,22131,1.8,0.95,261,2013,60.9
R SHRIYA AT ANGADIMOGARU,KERALA,6.9,6.7,66,1.8,0,205,2013,81.96
R THALLASSERY AT PATHIPPALAM,KERALA,6,6.6,67,1.5,3.69,398,2013,78.66
R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,4.9,6.8,9107,1.6,1,614,2013,67.5
R UPPALA AT  UPPALA BR.,KERALA,6.3,7,18931,1.4,1,201,2013,87.66
"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,6.6,6.8,15525,1.1,0.06,347,2013,84.36
"VAMANAPURAM, KERALA",KERALA,7.1,7.5,46,0.8,1,1097,2013,82.94
"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,6,7.3,432,1.2,3,78,2013,87.66
"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,6.1,7.7,328,1.2,1,211,2013,87.66
"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,5.8,7.8,707,0.6,0.85,1100,2013,76.42
"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,6.1,8,674,0.9,1,1260,2013,82.04
"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,7.3,7.3,164,2.3,1,336,2013,88.2
"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,7.6,7.4,122,2.4,1,834,2013,82.76
KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,6.5,7.1,95,1,0,212,2013,88.38
NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,6.5,7.1,56,1,0,79,2013,88.56
"BUDHABALANGA, D/S OF BARIPADA TOWN",ORISSA,7.5,7.8,237,1.4,0.89,18918,2013,71.16
BUDHABALANGA AT BALASORE D/S,ORISSA,7.6,7.6,3688,2.3,2.66,32918,2013,70.8
"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ORISSA,7.3,7.5,82,1.2,1.58,17512,2013,71.52
"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ORISSA,7.5,8,202,1.4,1.89,23191,2013,71.34
"NAGAVALLI AT JAYKAYPUR D/S, ORISSA",ORISSA,7.3,7.9,232,2.9,2.23,30836,2013,71.16
"NAGAVALLI AT RAYAGADA D/S, ORISSA",ORISSA,7.4,7.9,246,2.3,1.9,3900,2013,82.4
"RUSHIKULYA AT GANJAM U/S, ORISSA",ORISSA,6.9,8.1,3960,2,2.26,22523,2013,70.8
"RUSHIKULYA AT GANJAM D/S, ORISSA",ORISSA,7,8,28222,1.8,2.54,10469,2013,70.8
VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ORISSA,7.2,7.8,201,1.3,1.59,31034,2013,71.34
VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ORISSA,7.3,8,221,1.2,2.26,5289,2013,82.58
"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",PONDICHERRY,,7.8,,1,1,,2013,42.7
GAUTAMINANGODAVARI RIVER,PONDICHERRY,8,7.7,401,,1,,2013,47.4
GAUTAMINANGODAVARI RIVER,PONDICHERRY,8,8.2,1886,4,1,,2013,66.12
CORINGA RIVER,PONDICHERRY,7,8.2,742,5,1,,2013,66.12
MAHE RIVER,PONDICHERRY,7,6.4,149,4,1,,2013,50.34
"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMILNADU,6.7,7.5,1088,1.7,0,474,2013,87.66
"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMILNADU,7.2,6.5,73,3.1,0,59,2013,73.98
"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",TAMILNADU,6.7,6.3,98,3.3,1.5,74,2013,67.2
"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNADU.",TAMILNADU,6.3,6.5,143,4,4,124,2013,73.8
"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMILNADU,6.6,6.9,260,5.4,1,53,2013,80.04
"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",TAMILNADU,7.1,6.3,71,3.5,1,82,2013,67.38
"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",TAMILNADU,6.9,6.3,65,3.5,0,52,2013,67.38
"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",TAMILNADU,7.3,7.1,607,3.6,0.88,104,2013,82.98
"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",TAMILNADU,6.1,7,446,5.2,0.56,77,2013,82.98
"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI, TAMILNADU",TAMILNADU,6.9,6.4,94,3.2,1.59,65,2013,67.2
"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI, TAMILNADU",TAMILNADU,6.8,6.8,451,9.4,0.55,58,2013,75
"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU",TAMILNADU,6,6.6,169,3.9,2,84,2013,73.62
"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",TAMILNADU,6.5,6.7,187,3.3,3,113,2013,76.92
